pk;Школа;Специальность;Код специальности;Описание специальностей;Предметы;Минимальные баллы;Трудоустройство;Описание трудоустройства;Практика;Описание практики;Стажировка;Описание стажировки;Количество бюджетных мест;Стоимость обучения;Проходные баллы прошлых лет;Ключевые дисциплины;Смежная специальность;Дополнительные возможности;Выдающийся студент ;Достижения;Учебный план;;;;;;;;;
63;Восточный институт - школа региональных и международных исследований;Востоковедение и африканистика;58.03.01;"Специальность предусматривает несколько направлений обучения, когда уклон может быть сделан в пользу истории, языков и литературы, экономики или политики восточных и африканских государств. Однако в большинстве случаев бакалавр должен комплексно владеть знаниями и применять их в разных сферах. К спектру знаний относятся социальные, этноконфессиональные, политические, экономические, культурные, лингвистические и другие особенности развития восточных государств и народов. Применение накопленных знаний возможно в международных структурах, предприятиях экономической направленности, дипломатических организациях, транспортных компаниях, органах госуправления разного уровня, образовательных учреждениях, различных культурных организациях и т.д.
";История, Иностранный язык,  Русский язык;40,40,50;"Востоковед $Сотрудник в составе консультативных групп по проблемам межкультурного и межгосударственного взаимодействия стран АТР$
Переводчик$
Консультант в СМИ$
Аналитик в международной компании$
Преподаватель$
Сотрудник музея/научного центра$
Специалист по региону";Cпециалист широкого профиля в области стран Азии. Он разбирается одинаково хорошо в языке, литературе, истории, культуре и экономике изучаемой страны$ Специалист изучающий проблемы межкультурного и межгосударственного взаимодействия стран АТР$ Специалист, занимающийся переводом устной или письменной речи с одного языка на другой$ Работник СМИ консультирующий по вопросам конкретного региона$ Cgециалист, который занимается высококвалифицированной аналитической, организационной и управленческой деятельностью в сфере международных отношений, государственного управления, в корпоративных структурах и общественных организациях$ Преподаватель иностранного языка в учебных заведениях$ Специалист консультирующий в музеях и научных центрах по конкретному региону$ Специалист изучающий конкретнный регион, его языке, литературу, историю, культуру и экономику;Работа на кафедре$ Работа в библиотеке$ Переводы текстов$ Туристические фирмы$ Конусльства$ Лингвистические лагеря$ ВЭФ;Помощь преподавателями с документацией$ Перевод  книг, занесение информации в базу данных$  Заниматься переводом, помощь в документациях$ Проводить экскурсии для практики языка $ Работа с документацией, осуществление перевода$ Преподавание иностранного языка для детей в лагерях$ Перевод, коммуникация с иностранными гостями;ДВФУ предлагает своим студентам возможность пройти семестровое или годичное обучение без получения степени в одном из вузов-партнеров в Китае, Японии, Южной Корее, Вьетнаме, Индии и т.д. Обменная программа предполагает бесплатное ;;103;210000;245,260,243,251,259;"Основы восточного языка (китайского, корейского, японского)$
Восточный (китайский, корейский, японский) язык в профессиональной сфере$
Иностранный язык (английский)$
Экономика изучаемой страны$
История изучаемой страны$
Политическая система изучаемой страны$
Введение в востоковедение и основы профессиональной этики$
Межкультурная коммуникация в странах Азиатско-Тихоокеанского региона$
Глобальная Азия";"Зарубежное регионоведение$
Международные отношения$
Перевод и переводоведение$";На востоковедении студенты изучают не только язык, а в целом выбранную страну (Китай, Корею или Японию), после выпуска из университета вы будете разбираться в экономике, литературе, истории, религии изучаемой страны и во многом другом. Это означает, что вы станете универсальным специалистом, имеющим базу знаний в разных областях, а в будущем сможете развиваться и работать в том направлении, которое будет ближе именно вам.;;;Японоведение: https://bb.dvfu.ru/bbcswebdav/orgs/FUDOOD/20/%D0%92%D0%98-%D0%A8%D0%A0%D0%9C%D0%98/%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82/2020%20%D0%B3.%D0%BD.%2058.03.01%20%D0%AF%D0%BF%D0%BE%D0%BD%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5/%D0%BF%D1%80%D0%B8%D0%BB%202%20%D0%A3%D0%9F/58.03.01_%D0%92%D0%90_%20%D0%AF%D0%BF_2020.pdf Корееведение: https://bb.dvfu.ru/bbcswebdav/orgs/FUDOOD/20/%D0%92%D0%98-%D0%A8%D0%A0%D0%9C%D0%98/%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82/2020%20%D0%B3.%D0%BD.%2058.03.01%20%D0%9A%D0%BE%D1%80%D0%B5%D0%B5%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5/%D0%BF%D1%80%D0%B8%D0%BB%202%20%D0%A3%D0%9F/58.03.01_%D0%92%D0%90_%20%D0%9A%D0%BE%D1%80_2020.pdf Китаеведение : https://bb.dvfu.ru/bbcswebdav/orgs/FUDOOD/20/%D0%92%D0%98-%D0%A8%D0%A0%D0%9C%D0%98/%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82/2020%20%D0%B3.%D0%BD.%2058.03.01%20%D0%9A%D0%B8%D1%82%D0%B0%D0%B5%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5/%D0%BF%D1%80%D0%B8%D0%BB%202%20%D0%A3%D0%9F/58.03.01_%D0%92%D0%90_%20%D0%9A%D0%B8%D1%82%D0%B0%D0%B5%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5_2020.pdf;;;;;;;;;
48;Восточный институт - школа региональных и международных исследований;Зарубежное регионоведение;41.03.01;"Направление предусматривает подготовку специалиста по конкретному региону, который сможет  предоставлять консультации относительно обеспечения успешной межкультурной коммуникации в регионе специализации а также выступать в качестве эксперта относительно политической обстановки в данном регионе, социально-экономического развития, истории и культуры и других особенностей изучаемого региона, включая знание двух или более иностранных языков. На данном направлении сущетсвует 2 профиля : Исследование регионов и стран Азии; Исследование стран Северной Америки";История, Иностранный язык, Русский язык;40,40,50 ;"Аналитик/консультант по региону специализации$ Гид$
Переводчик$
Менеджер по международной коммуникации$
Дипломат$
Преподаватель языка$
Специалист по взаимодействию с иностранными компаниями$ Консультант или журналист в СМИ";Специалист, который занимается информационно-аналитической и консултационной деятельностью по вопросам коммуникации в регионе специализации, а также по вопросам политического, социального, экономического и культурного развития региона специализации$ Проводник, сопровождающий туристов или экскурсантов и объясняющий осматриваемые ими достопримечательности$  Специалист, занимающийся переводом устной или письменной речи с одного языка на другой$ Специалист не только владеющий иностранным языком, но и компетентный в актуальных вопросах межкультурной коммуникации, знающий об особенностях разнообразия культурного восприятия мира, что обеспечивает успешное ведение бизнеса с иностранными партнерами$официальное лицо, представляющее интересы конкретного государства или полномочной международной организации$ Преподаватель определенного иностранного языка в разных учебных заведениях$ Специалист, владеющий иностранными языками, специализирующийся в сфере иностранных компаний$ Специалист проводящий мониторинг информационных поводов по региону специализации и готовящий материал для дальнейшей публикации в СМИ; В иностранных компаниях$ Туристические фирмы$ ВЭФ$ Перевод текстов$ Работа в библиотеке$ Работа на кафедре; Проводение экскурсий для иностранцев $ Помощь менеджерам в составлении туров $ Перевод, коммуникация с иностранными гостями $ Перевод и реферирование текстов $ Перевод книг и документов, занесение в базы данных $ занятие информационно-аналитической работой под руководством преподавателей кафедры;" ДВФУ предлагает своим студентам возможность пройти семестровое или годичное обучение без получения степени в одном из вузов-партнеров в Китае, Японии, Южной Корее, Вьетнаме, Индии и т.д.  Обменная программа предполагает бесплатное обучение.
Реализация программ академического обмена осуществляется на конкурсной основе.
Доступны стажировки в вузы Японии, Южной Кореи, Китая, стран АТР и стран Европы. Во время практики студенты имеют возможность повысить уровень иностранного языка, пройти языковые курсы, предлагаемые выбранным университетом, изучить культуру страны в реалиях повседневной жизни. Наличие сертификата о прохождении практики увеличивается  шанс устроиться на работу за рубежом после окончания обучения.
Подробнее с условиями участия в конкурсе и списком программ академического обмена можно ознакомиться, перейдя по следующей ссылке: https://www.dvfu.ru/international/international-programs/academic-mobilnost/#
";;39;210000;241,255,241,249,256;Язык изучаемого региона$ Английский язык$ Экономика и социально-экономические процессы в странах изучаемого региона$ Культура, литература и религия изучаемого региона $ Территория, ресурсы и этносы изучаемого региона$ Эволюция цивилизаций изучаемого региона$ Политические и правовые системы изучаемого региона$ Имиджевые коммуникации в странах АТР$ Регионализм и международное сотрудничество в АТР;"Международные отношения$
Востоковедение и африканистика$
Перевод и переводоведение$";"В процессе учебы гарантируется увлекательный процесс преподавания, который поможет изучить несколько иностранных языков, побывать на практике заграницей, устроиться на престижную, высокооплачиваемую работу.
Кафедра подготавливает специалистов для конкретного региона, который зависит от выбора профиля: Исследование регионов и стран Азии(китайский и английский); Исследование стран Северной Америки( английский испанский)
Окончив данное направление подготовки, можно проявить себя консультантом по политической ситуации изучаемого региона, экономическому развитию, историческим и культурным ценностям и др.";;;https://bb.dvfu.ru/bbcswebdav/orgs/FUDOOD/20/%D0%92%D0%98-%D0%A8%D0%A0%D0%9C%D0%98/%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82/2020%20%D0%B3.%D0%BD.%2041.03.01%20%D0%98%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D0%BE%D0%B2%20%20%D0%B8%20%D1%81%D1%82%D1%80%D0%B0%D0%BD%20%D0%90%D0%B7%D0%B8%D0%B8/%D0%BF%D1%80%D0%B8%D0%BB%202%20%D0%A3%D0%9F/41.03.01%202020%20%D0%98%D0%A0%D0%A1%D0%90.pdf  Исследоване стран Северной Америки: https://bb.dvfu.ru/bbcswebdav/orgs/FUDOOD/20/%D0%92%D0%98-%D0%A8%D0%A0%D0%9C%D0%98/%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82/2020%20%D0%B3.%D0%BD.%2041.03.01%20%D0%98%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D1%81%D1%82%D1%80%D0%B0%D0%BD%20%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%BE%D0%B9%20%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B8/%D0%BF%D1%80%D0%B8%D0%BB%202%20%D0%A3%D0%9F/41.03.01%202020%20%D0%98%D0%A1%D0%A1%D0%90.pdf;;;;;;;;;
68;Восточный институт - школа региональных и международных исследований;Лингвистика;45.03.02;Профессию лингвиста относят к широко распространенным. Деятельность этого специалиста не связана с созданием конкретного продукта. При обучении в высшем учебном заведении будущие лингвисты изучают структуру и историю языка, а также философию и культурологию, поскольку языкознание находится на стыке наук. Многие считают работу в сфере изучения языков скучной. На самом деле они неправы. Лингвистика – интересная наука, просто нужно иметь тягу к знаниям, обладать пытливостью и усидчивостью.;Иностранный язык, История, Русский язык;40,40,50;Переводчик-синхронист$ Журналист$ Лингвист$ Технический переводчик$ Преподаватель Иностранного языка$;Специалист, который обеспечивает перевод с иностранных языков на русский и в обратном направлении параллельно с озвучиванием текста докладчиком, используя при этом технические средства$ Специалист,  который занимается сбором, созданием, редактированием, подготовкой и оформлением информации для редакции средства массовой информации, связанный с ним трудовыми или иными договорными отношениями — или занимается такой деятельностью по собственной инициативе$ Специалист по языкознанию$ Специалист, который профессионально может перевести текст технической тематики с одного языка на другой без искажения смысла.$ Преподаватель иностранных языков в учебных заведениях$;Работа на кафедре$ Работа в библиотеке$ Туристические компании$ Лингвистические лагеря$ Иностранные компании$ ВЭФ;Помощь преподавателями с документацией$ Перевод  книг, занесение информации в базу данных$  Заниматься переводом, помощь в документациях$ Перподавание иностранных языков детских лингвистических лагерях $ Перевод документации$ Перевод, коммуникация с иностранными гостями;ДВФУ предлагает своим студентам возможность пройти семестровое или годичное обучение без получения степени в одном из вузов-партнеров в Китае, Японии, Южной Корее, Вьетнаме, Индии и т.д.  Обменная программа предполагает бесплатное ;;25;210000;236,245,239,245,255;"Практический курс английского языка$
Общий практический курс китайского языка$
История литературы и культуры западноевропейских стран$
Основы теории перевода и практика межкультурной коммуникации$
Практические аспекты межкультурной коммуникации$
Основы теории межкультурной коммуникации$
Лингвоконтактология: восточноазиатские разновидности мирового английского языка$
Межкультурная коммуникация в Азиатско-Тихоокеанском регионе$
Лингвострановедение и лингвокультура Азиатско-Тихоокеанского региона (китайский язык)$
Практический курс западноевропейского языка$
Практика устной и письменной речи западноевропейского языка$
Специализированный перевод$
Введение в языкознание (европейские языки)";"Фундаментальная и прикладная лингвистика$
Перевод и переводоведение$
Филология (иностранный язык)$";"В программе направление студентам предоставляется возможность изучения языка английского и дополнительного, завистит от выбранного профиля: перевод и переводоведение( французский\ немецкий\испанский); межкультурная коммуникация(китайский). Во время обучения студенты практикуют синхронный первод. Благодаря хорошей языковой подготовке, начиная со второго курса, студенты активно участвуют в научной жизни университета и в течение одного семестра могут пройти обучение в зарубежных вузах-партнерах ";;;Перевод и переводоведение : https://bb.dvfu.ru/bbcswebdav/orgs/FUDOOD/20/%D0%92%D0%98-%D0%A8%D0%A0%D0%9C%D0%98/%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82/2020%20%D0%B3.%D0%BD.%2045.03.02%20%D0%9F%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%20%D0%B8%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5/%D0%BF%D1%80%D0%B8%D0%BB%202%20%D0%A3%D0%9F/45.03.02_%D0%9B_%D0%9F%D0%9F_2020.pdf  Межкультурная коммуникация (английский и китайский) : https://bb.dvfu.ru/bbcswebdav/orgs/FUDOOD/20/%D0%92%D0%98-%D0%A8%D0%A0%D0%9C%D0%98/%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82/2020%20%D0%B3.%D0%BD.%2045.03.02%20%D0%9C%D0%B5%D0%B6%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D1%83%D1%80%D0%BD%D0%B0%D1%8F%20%D0%BA%D0%BE%D0%BC%D0%BC%D1%83%D0%BD%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%28%D0%B0%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B8%20%D0%BA%D0%B8%D1%82%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%29/%D0%BF%D1%80%D0%B8%D0%BB%202%20%D0%A3%D0%9F/45.03.02_%D0%9B_%D0%9C%D0%9A%D0%9A%28%D0%90%D0%9A%29_2020.pdf;;;;;;;;;
47;Восточный институт - школа региональных и международных исследований;Международные отношения;41.03.05;"Бакалавр в данном направлении — это специалист, который в идеале владеет всеми аспектами развития изучаемого направления (региона или стран): экономическими, политическими, культурными, правовыми и не только. Или же является квалифицированным экспертом в одной из областей международных отношений. Студенты могут выбрать один из наиболее близких им профилей обучения: межнуродные отношения и внешняя политика;дипломатия и международная безопасность.";Иностранный язык, История, Русский язык;40,40,50;Дипломат$ Международный аналитик$ Конфликтолог$ Менеджер по межкультурной коммуникации$ Переводчик$ Гид$ ;Официальное лицо, представляющее интересы конкретного государства или полномочной международной организации$ Специалист, который занимается высококвалифицированной аналитической, организационной и управленческой деятельностью в сфере международных отношений. В обязанности международного аналитика входит подготовка информационно-справочных и аналитических материалов для руководства организации$ Специалист по решению конфликтов, не только межличностных, но и межгосударственных$ Специалист не только владеющий иностранным языком, но и компетентный в актуальных вопросах межкультурной коммуникации, знающий об особенностях разнообразия культурного восприятия мира, что обеспечивает успешное ведение бизнеса с иностранными партнерами$Специалист, занимающийся переводом устной или письменной речи с одного языка на другой$ Проводник, сопровождающий туристов или экскурсантов и объясняющий осматриваемые ими достопримечательности$; Переводы текстов$ Туристические фирмы$Консульства$ Миграционные службы$ ВЭФ;  Заниматься переводом, помощь в документациях$ Проводить экскурсии для практики языка$ Анализ и составление ддокументов, практика иностранного языка$ Осуществленние перевода, работа с документацией $ Перевод, коммуникация с иностранными гостями;ДВФУ предлагает своим студентам возможность пройти семестровое или годичное обучение без получения степени в одном из вузов-партнеров в Китае, Японии, Южной Корее, Вьетнаме, Индии и т.д.  Обменная программа предполагает бесплатное ;;40;210000;244,267,242,253,262;"Изучаемый язык (китайский, японский, корейский, испанский, русский как иностранный - на выбор)$
Иностранный язык профессиональной коммуникации (английский)$
Иностранный язык$
Проектная деятельность в международных отношениях$
История международных отношений$
Основы изучения международных отношений$
Современные международные отношения$
Основы международной безопасности$
Геополитика";"Политология$
Зарубежное регионоведение$
Востоковедение и африканистика";"На данном профиле студенты могут выбрать профиль, по которому может осуществляться обучение: международные отношения и внешняя политика; международная безопасность. Одной из возможностью является углубленное изучение второго иностранного языка. Уже с первого курса студенты приступают к углубленному изучению второго иностранного языка (корейского, китайского,япоснкого и испанского), а также стран, где этот язык распространен: особенностей их политики, экономики, культуры и условий ведения бизнеса. Участие студентов  различных международных конференциях как в России, так и зарубежом.";;;Международные отношения и внешняя политика: https://bb.dvfu.ru/bbcswebdav/orgs/FUDOOD/20/%D0%92%D0%98-%D0%A8%D0%A0%D0%9C%D0%98/%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82/2020%20%D0%B3.%D0%BD.%2041.03.05%20%D0%9C%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5%20%D0%BE%D1%82%D0%BD%D0%BE%D1%88%D0%B5%D0%BD%D0%B8%D1%8F%20%20%D0%B8%20%D0%B2%D0%BD%D0%B5%D1%88%D0%BD%D1%8F%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0/%D0%BF%D1%80%D0%B8%D0%BB%202%20%D0%A3%D0%9F/41.03.05_%D0%9C%D0%9E_%D0%9C%D0%9E%D0%92%D0%9F_2020.pdf   Международная безопасность: https://bb.dvfu.ru/bbcswebdav/orgs/FUDOOD/20/%D0%92%D0%98-%D0%A8%D0%A0%D0%9C%D0%98/%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82/2020%20%D0%B3.%D0%BD.%2041.03.05%20%D0%9C%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C/%D0%BF%D1%80%D0%B8%D0%BB%202%20%D0%A3%D0%9F/41.03.05_%D0%9C%D0%9E_%D0%9C%D0%91_2020.pdf;;;;;;;;;
66;Восточный институт - школа региональных и международных исследований;Перевод и переводоведение (с);45.03.05;Во время обучения на этом направлении студенты изучают историю перевода и международных коммуникаций, исследуют теорию перевода. Во время курса студентам преподают различные модели перевода - от психолингвистической до семантической. На специальности «Перевод и переводоведение» готовят специалистов с углублённым знанием иностранных языков. ;Иностранный язык, История, Русский язык;40,40,50;Переводчик$ Преподаватель иностранных языков$ Гид-переводчик$  PR-менеджер$ Специалист по литературному и техническому переводу$ ;Специалист, занимающийся переводом устной или письменной речи с одного языка на другой$ Преподаватель иностранных языков в учебных заведениях$ Проводник, сопровождающий туристов или экскурсантов и объясняющий осматриваемые ими достопримечательности на иностранном языке$ Специалист, который обеспечивает перевод с иностранных языков на русский и в обратном направлении литературных и технических текстов;Работа на кафедре$ Работа в библиотеке$ Переводы текстов$ Туристические фирмы$ ВЭФ;Помощь преподавателями с документацией$ Перевод  книг, занесение информации в базу данных$  Заниматься переводом, помощь в документациях$ Проводить экскурсии для практики языка$ Перевод, коммуникация с иностранными гостями;ДВФУ предлагает своим студентам возможность пройти семестровое или годичное обучение без получения степени в одном из вузов-партнеров в стране изучаемого языка: Вьетнаме, Индии и т.д.  Обменная программа предполагает бесплатное ;;36;210000;0,0,243,0,243;"Практический курс английского языка$
Практический курс перевода изучаемого восточного языка$
Практический курс перевода английского языка$
Практический курс  изучаемого восточного языка$
Практикум по культуре речевого общения английского языка$
Практикум по культуре речевого общения изучемого восточного языка";"Фундаментальная и прикладная лингвистика$
Лингвистика$
Филология (иностранный язык)$";На данной программе главным профилем является:  Лингвистическое обеспечение межгосударственных отношений (Южная и Юго-Восточная Азия), что позволяет студенту выбрать один из трех языков (хинди, тайский, вьетнамский). Отличительной особенностью обучения является фундаментальность лингвистической подготовки, широта  гуманитарного образования и ориентация на меняющийся рынок труда. Ведется подготовка лингвистов-переводчиков широкого профиля, удовлетворяющих постоянно растущую потребность современного общества в налаживании успешной межъязыковой и межкультурной коммуникации, важнейшим инструментом которой является перевод.;;;;;;;;;;;;
13;Восточный институт - школа региональных и международных исследований;Политология;41.03.04;На данном направлении политологи занимаются исследовательской деятельностью: они изучают историю становления государственности, современную политическую систему России или зарубежных стран, степень развития политической культуры государства. Не остаются вне поля их зрения взаимоотношения между обществом и государственными структурами, существующие пути общественного диалога и проблемы в коммуникации ветвей власти. ;Русский язык, История, Обществознание;50,40,51;"Политолог$ Политтехнолог$
Лоббист$
Политический менеджер$
";"Специалист, который изучает политику как особую область жизни людей, связанную с властными отношениями, и анализирует события политической жизни$ Тактик, который создает политический образ своих клиентов, занимаются продвижением кандидатов на выборах, работает над PR их кампаний и укреплением их позиций в межвыборное время$ Специалист, выступающий посредником между политическими, финансовыми или профессиональными группами, а также госчиновниками и депутатами$  Специалист, который  мобилизует массы на поддержку лидеров, кандидатов, программ; лоббирует интересы тех или иных групп с целью оказать воздействие на лиц, принимающих политические решения; воздействует на оппонентов с целью разрешения конфликта или создания блоков, коалиций; формирует политическую лояльность (избирательную, идеологическую) у населения;"; Администрация города$ Политические структуры$ ВЭФ;  Возможность поработать помощником в различных управлениях города$ Работа с реальными политическими задачи региональных партий, участие в  избирательных компаниях$ Перевод, коммуникация с иностранными гостями; ДВФУ предлагает своим студентам возможность пройти семестровое или годичное обучение без получения степени в одном из вузов-партнеров в Китае, Японии, Южной Корее, Вьетнаме, Индии и т.д. Обменная программа предполагает бесплатное обучение.;;20;210000;214,215,232,210,226;"Россия в системе трансграничных отношений в Азиатско-тихоокеанском регионе$
Политический анализ и прогнозирование$
Введение в политическую теорию$
Сравнительная политология$
Политическая социология$
Разработка и принятие управленческих решений$
Управление избирательными кампаниями$
Политическое регулирование конфликтов$
Политика и правовые основы государства$
Иностранный язык (английский)";Международные отношения$;Во время обучения студенты имеют специальную возможность подготовки в области методов исследования политики и общества. Высокое качество профессорско-преподавательского состава, который включает в себя выдающихся исследователей и практиков. Данная программа прдоставляет связь с внешними партнерами, как в области предоставления учебных стажировок для студентов, так и в плане прохождения производственной практики.;;;https://bb.dvfu.ru/bbcswebdav/orgs/FUDOOD/20/%D0%92%D0%98-%D0%A8%D0%A0%D0%9C%D0%98/%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82/2020%20%D0%B3.%D0%BD.%2041.03.04%20%D0%9F%D0%BE%D0%BB%D0%B8%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F/%D0%BF%D1%80%D0%B8%D0%BB%202%20%D0%A3%D0%9F/41.03.04_%D0%9F_2020.pdf;;;;;;;;;
2;Восточный институт - школа региональных и международных исследований;Филология (иностранные языки);45.03.01;Данная программа предоставляет  студентам возможность изучить английский язык до уровня профессионального владения, получить фундаментальные знания в области зарубежной литературы, научиться работать с текстами на английском и французском языках и, что самое важное: получить базовую подготовку в области теории и методики обучения иностранным языкам.;Иностранный язык, Литература, русский язык;40,45,50;"Преподаватель английского языка или литературы$
Лингвист$
Редактор$
Писатель$
Журналист$
Литературовед$
Литературный переводчик$ ";Преподаватель английского языка и литературы в учебных заведениях$ Специалист по языкознанию$ Специалист, занимающийся редактированием — правкой и подготовкой письменных или иных произведений к изданию$ Специалист,который занимается созданием словесных произведений, предназначенных так или иначе для общественного потребления$ Литературный работник, который занимается сбором, созданием, редактированием, подготовкой и оформлением информации для редакции средства массовой информации, связанный с ним трудовыми или иными договорными отношениями — или занимается такой деятельностью по собственной инициативе$ Специалист, изучающий художественную литературу как явление человеческой культуры$ Специалист, который занимается изучением и анализом всех видов литературных произведений$;Работа на кафедре$ Работа в библиотеке$ Переводы текстов$ Туристические фирмы$ Учебные заведения$ ВЭФ;Помощь преподавателями с документацией$ Перевод  книг, занесение информации в базу данных$  Заниматься переводом, помощь в документациях$ Проводить экскурсии для практики языка$ Перевод, коммуникация с иностранными гостями$;;;14;210000;236,250,252,253,270;"Основной язык (английский)$
Иностранный язык$
Практический курс английского языка$
История мировой литературы и культуры$
Теория обучения и методика преподавания иностранных языков$
Тестирование и оценивание в преподавании иностранных языков$
Общее языкознание$
Стилистика английского языка и интерпретация текстов";"Филология (русский язык)$
Лингвистика$
Перевод и переводоведение$";"Обучение на иностранной филологии предполагает изучение литературы, иностранных языков и ряда других лингвистических дисциплин. Это может являться отличной базой для построения будущей карьеры в преподавании изучаемых вами наук. Так же вы можете заняться научными изысканиями, стать гениальным лингвистом, переводчиком или даже писателем. Студенты принимают активное участие в научных конференциях как по литературоведению, так и по лингвистике.
";;;https://bb.dvfu.ru/bbcswebdav/orgs/FUDOOD/20/%D0%92%D0%98-%D0%A8%D0%A0%D0%9C%D0%98/%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82/2020%20%D0%B3.%D0%BD.%2045.03.01%20%D0%9F%D1%80%D0%B5%D0%BF%D0%BE%D0%B4%D0%B0%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%B0%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%20%D1%8F%D0%B7%D1%8B%D0%BA%D0%B0/%D0%BF%D1%80%D0%B8%D0%BB%202%20%D0%A3%D0%9F/45.03.01_%D0%A4%D0%B8%D0%BB%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F_%D0%9F%D0%90%D0%AF_2020.pdf;;;;;;;;;
